ADRA1A	GNB2
ADRA1A	ADRA1B
ADRA1A	GNA13
ADRA1A	GNG11
ADRA1A	GNA15
ADRA1A	CXCR1
ADRA1A	RGS2
ADRA1A	GNAQ
ADRA1A	PPP1R9B
ADRA1B	GNB2
ADRA1B	ARRB1
ADRA1B	PRKCA
ADRA1B	GNG11
ADRA1B	ALB
ADRA1B	GNA13
ADRA1B	GNA15
ADRA1B	AP2M1
ADRA1B	GNAQ
ADRA1B	STAT1
ADRA1D	GNG12
ADRA1D	GNA13
ADRA1D	SNTA1
ADRA1D	GNG13
ADRA1D	GNAQ
ADRA1D	GNGT1
ADRA1D	GNA12
ADRA1D	SNTB2
ADRA1D	GNG3
ADRA1D	GNA14
ADRA1D	GNG4
ADRA1D	GNA11
ADRA1D	GNG2
ADRA1D	GNG5
ADRA1D	PPP1R9B
ADRA1D	ADRA1A
ADRA1D	GNG11
ADRA1D	GNB2
ADRA1D	GNGT2
ADRA1D	GNB1
ADRA1D	SNTB1
ADRA1D	GNA15
ADRA2A	GNB2
ADRA2A	GNAI2
ADRA2A	GNG11
ADRA2A	EIF2B1
ADRA2A	YWHAZ
ADRA2A	ADRB1
ADRA2A	PRKCD
ADRA2B	YWHAZ
ADRA2B	EIF2B1
ADRA2B	GNAI2
ADRA2B	GNB2
ADRA2B	GNG11
ADRA2C	EIF2B1
ADRA2C	GNG11
ADRA2C	GNAI2
ADRA2C	YWHAZ
ADRA2C	GNB2
ADRB1	GRB2
ADRB2	SRC
ADRB2	AP2B1
ADRB2	PRKCD
ADRB2	CSK
ADRB2	GRB2
ADRB2	ARRB1
ADRB2	GNG11
ADRB2	SLC9A3R2
ADRB2	EIF2B1
ADRB2	ADRA1B
ADRB2	ARRB2
ADRB2	GNB2
ADRB2	GNA15
ADRB2	SLC9A3R1
ADRB2	GPRASP1
ADRB2	INSR
ADRB3	ADRB2
ADRB3	GNAS
ADRB3	SRC
ADRB3	GNB2
ADRB3	GNG11
ADRM1	PSMD2
ADRM1	PSMA5
ADRM1	PSMB2
ADRM1	PSMB7
ADRM1	PSMD7
ADRM1	UBQLN1
ADRM1	PSMD11
ADRM1	PSMC6
ADRM1	PSMD6
ADRM1	PSMD13
ADRM1	PSMC4
ADRM1	PSMA6
ADRM1	PSMD10
ADRM1	PSMB3
ADRM1	PSMD4
ADRM1	PSMB5
ADRM1	PSMD1
ADRM1	UCHL5
ADRM1	PSMA3
ADRM1	PSMC3
ADRM1	PSMA1
ADRM1	PSMA7
ADRM1	PSMB6
ADRM1	PSMB4
ADRM1	PSMA4
ADRM1	PSMB1
ADRM1	PSMB10
ADRM1	PSMC2
ADSS	ACTA1
ADSS	IKBKE
AEBP1	TCF3
AEBP2	SUZ12
AEBP2	RBBP4
AEBP2	HDAC2
AEBP2	LDOC1
AEBP2	EED
AES	RELA
AES	CTNNB1
AFAP1	SRC
AFAP1	PRKCD
AFAP1	PRKCB
AFAP1	ACTC1
AFAP1	PRKCG
AFAP1	PRKCE
AFAP1	PRKCA
AFAP1	ACTA1
AFAP1L2	RASA1
AFAP1L2	SRC
AFDN	YWHAQ
AFDN	EPHB3
AFDN	SORBS2
AFDN	ARRB2
AFDN	RIN1
AFDN	YWHAB
AFDN	HRAS
AFDN	TJP1
AFDN	EPHB6
AFDN	JAG1
AFDN	RALGDS
AFDN	RRAS2
AFDN	YWHAH
AFDN	RIT1
AFDN	SMAD2
AFDN	EPHB2
AFDN	NRXN1
AFDN	SORBS1
AFDN	RAP1A
AFDN	CTNNA1
AFDN	LMO2
AFDN	YWHAG
AFDN	NRAS
AFDN	EPHA7
AFF1	MLLT1
AFF1	SIAH1
AFF1	CCNT1
AFF1	CTR9
AFF1	SIAH2
AFF1	MLLT3
AFF1	CCNT2
AFF1	SMAD9
AFF1	CDK9
AFF2	NCK1
AFF2	PLCG1
AFF2	CRK
AFF4	TRAF2
AFF4	CCNT1
AFF4	SIAH1
AFF4	CTR9
AFF4	CDK9
AFF4	CCNT2
AFF4	MLLT1
AFM	IFRD1
