prestige	stresscent	gilschmidt
2076	11	216773	0.280019674170149
2077	3	206	0.23070274857166
2078	1	0	0.236409856265215
2079	65	544133	0.299702998494626
2080	16	251095	0.266442026584814
2081	1	0	0.225404623381558
2082	2	1011	0.233415284825022
2083	43	203564	0.259880095086962
2084	52	1773538	0.320504728194198
2085	7	32710	0.281541153016785
2086	23	316361	0.299220879612653
2087	12	279851	0.28396249992733
2088	10	48639	0.273634577717314
2089	19	27361	0.253852301325738
2090	16	209158	0.272271625603719
2091	43	1123758	0.317062765543154
2092	2	2128	0.227289410821085
2093	5	51344	0.239729182286845
2094	3	5542	0.22192536602094
2095	1	0	0.230432773622081
2096	43	1040529	0.313315954967344
2097	7	207172	0.274006556119318
2098	4	20904	0.242796551062744
2099	2	4086	0.259602419022028
2100	5	23608	0.256114104374798
2101	11	223621	0.291666085450392
2102	8	31369	0.277753947911382
2103	6	18249	0.272513120956897
2104	6	75518	0.286484978465918
2105	2	1873	0.235846367107804
2106	11	86115	0.275896961982626
2107	20	584597	0.30024788873194
2108	14	65703	0.287164420265828
2109	4	17025	0.239019517241774
2110	9	28719	0.272940605511074
2111	50	303214	0.299806164379557
2112	1	0	0.245597868098771
2113	1	0	0.225368636408551
2114	18	251176	0.294167785507933
2115	3	28980	0.229333112471157
2116	3	3944	0.208279570829932
2117	1	0	0.211111982935502
2118	7	16599	0.236130872463713
2119	1	0	0.19245755668314
2120	14	304494	0.301879653362607
2121	13	384882	0.283794673734237
2122	12	151493	0.285430361574611
2123	6	49413	0.257110018424539
2124	8	10774	0.260015518473941
2125	10	236866	0.287308125984414
2126	3	2717	0.224113499909914
2127	19	571173	0.259405241408156
2128	4	1498	0.226684219397514
2129	2	1522	0.225851433376152
2130	8	18251	0.25695207290775
2131	5	16711	0.244403614002651
2132	7	85560	0.258674507273904
2133	1	0	0.210011740568326
2134	2	448	0.245624313438288
2135	3	2723	0.24607940576449
2136	18	671477	0.297219461444997
2137	12	244806	0.291941727258439
2138	6	83231	0.256293700197016
2139	5	125869	0.253632601582055
2140	7	103406	0.250689903692455
2141	19	400425	0.297394698145318
2142	1	0	1
2143	45	1645463	0.316154033931387
2144	1	0	0.164976731975999
2145	26	648872	0.308087624162303
2146	40	154740	0.28687817126116
2147	46	693038	0.309623488111201
2148	7	25832	0.278867558252381
2149	1	0	0.22314388589563
2150	19	170808	0.253880199705891
2151	11	174925	0.275999110739115
2152	9	42568	0.273745880629788
2153	14	137719	0.267807303563419
2154	21	467508	0.297004411431339
2155	2	6226	0.249819822961515
2156	2	3694	0.224246307823755
2157	73	492173	0.297074738597967
2158	4	108509	0.234544733308918
2159	16	92014	0.283184541972512
