gene	gene.y
GH1	SOCS2
GHSR	GNG7
GJA3	PRKCG
GLI2	FBXW11
GNA12	NAPA
GNA12	GNGT1
GNA12	GNG13
GNA12	GNG3
GNA12	GNG7
GNA12	HSP90AA2P
GNA12	LPAR3
GNAO1	GNG13
GNAO1	RGS16
GNAO1	GNG3
GNAO1	RIC8B
GNAO1	GNGT1
GNAO1	PLCB3
GNAO1	GNG7
GNAS	TSHR
GNAS	GNGT1
GNAS	TTC1
GNAS	RIC8B
GNAS	CRHR1
GNAS	PTGDR
GNAS	HTR6
GNB2	GPR84
GNB2	TAAR1
GNB2	GNA12
GNB2	GNAO1
GNB2	ADRB2
GNB2	HTR6
GNB2	MCHR2
GNB2	NPY1R
GNB2	AGTR1
GNB2	TAAR5
GNB2	UTS2R
GNB2	HTR1E
GNB2	HTR1A
GNB2	GALR3
GNB2	SSTR3
GNB2	CNR1
GNB2	HTR1B
GNB2	NMUR1
GNB2	GNG13
GNB2	PTGFR
GNB2	TAAR6
GNB2	TGFBR1
GNB2	GNG7
GNB2	GNAT3
GNB2	TAAR8
GNB2	GRPR
GNB2	PTGDR
GNB2	GNGT1
GNB2	GALR1
GNB2	NPY2R
GNB2	HTR5A
GNB2	OPRK1
GNB2	LPAR3
GNB2	NPFFR1
GNB2	SSTR5
GNB2	GNG3
GNB2	GHSR
GNG13	NPY1R
GNG13	GRPR
GNG13	GALR3
GNG13	TAAR8
GNG13	GHSR
GNG13	GNAT3
GNG13	NPY2R
GNG13	TAAR6
GNG13	TAAR1
GNG13	OPRK1
GNG13	GPR84
GNG13	LPAR3
GNG13	HTR1E
GNG13	HTR6
GNG13	GALR1
GNG13	UTS2R
GNG13	NMUR1
GNG13	NPFFR1
GNG13	HTR1B
GNG13	HTR5A
GNG13	MCHR2
GNG13	TAAR5
GNG3	HTR1E
GNG3	MCHR2
GNG3	TAAR8
GNG3	TAAR1
GNG3	OPRK1
GNG3	LPAR3
GNG3	NMUR1
GNG3	GNAT3
GNG3	UTS2R
GNG3	NPY2R
GNG3	TAAR6
GNG3	GPR84
GNG3	HTR6
GNG3	SSTR3
GNG3	NPFFR1
GNG3	SSTR5
GNG3	PTGDR
GNG3	TAAR5
GNG3	GALR1
GNG3	GALR3
GNG3	NPY1R
GNG3	HTR5A
GNG3	GHSR
GNG3	GRPR
GNG3	PTGFR
GNG3	HTR1B
GNG7	GNAT3
GNGT1	SSTR5
GNGT1	MCHR2
GNGT1	HTR1B
GNGT1	OPRK1
GNGT1	SSTR3
GNGT1	HTR1E
GNGT1	LPAR3
GNGT1	NMUR1
GNGT1	HTR5A
GNGT1	TAAR1
GNGT1	GPR84
GNGT1	TAAR8
GNGT1	TAAR5
GNGT1	NPY2R
GNGT1	PTGDR
GNGT1	TAAR6
GNGT1	GHSR
GNGT1	HTR6
GNGT1	GNAT3
GNGT1	NPY1R
GNGT1	UTS2R
GNGT1	GALR1
GNGT1	GALR3
GNGT1	PTGFR
GNGT1	GRPR
GNGT1	NPFFR1
GOLGA1	VPS51
GOLM1	GEMIN7
GOLM1	SLC40A1
GOLM1	SYT1
GPC3	FGF13
GPR84	GNG7
GPSM2	GNAO1
GRIA1	GRIA3
GRIA1	GRIA2
GRIA1	CXCR2
GRIA1	PRKACA
GRIA1	GRIPAP1
GRIA1	GRIK2
GRIA1	EPB41L1
GRIA2	GRIA3
GRIN2A	ARHGAP32
GRIN2A	GRIN3A
GRIN2A	RGS3
GRPR	GNG7
GSPT1	RPS6
GSPT1	RPL27A
GSPT1	RPL10L
GTF2E2	GTF2H5
GTF2H4	GTF2H5
GTF2H4	BTAF1
GTF2IRD1	EXOSC4
GZMA	SET
GZMA	LMNB1
HACD3	TMBIM4
HAP1	UTP3
HAUS2	CEP152
HBEGF	FBLN1
HBEGF	LTBP3
HDAC6	HIST1H4C
HDAC6	HIST1H4A
HDAC6	HIST1H4D
HDAC6	BCOR
HDAC6	HSF1
HEATR1	BMS1
HEATR1	TBL3
HEATR1	UTP3
HEATR1	DHX37
HECTD2	UBE2U
HERC2	HIST1H2BA
HERC2	UBE2U
HERC2	HIST1H2BH
HERC6	UBE2U
HIF1AN	ASB13
HIPK2	NLK
HIST1H2AA	HIST1H2BH
HIST1H2AA	TADA2B
HIST1H2BA	TADA2B
HIST1H2BA	HIST1H2AA
HIST1H2BA	HIST3H2A
HIST1H2BA	H2AFJ
HIST1H2BH	HIST3H2A
HIST1H2BH	H2AFJ
HIST1H3B	HIST3H2A
HIST1H3C	HIST3H2A
HIST1H3C	DEK
HIST1H3C	SETD7
HIST1H3H	HIST3H2A
HIST1H3I	HIST3H2A
HIST1H3J	HIST3H2A
HIST1H4A	KMT5A
HIST1H4A	DEK
HIST1H4C	KMT5A
HIST1H4D	KMT5A
HK2	IGFBP4
HK3	IGFBP4
HK3	GRN
HLA-DMB	HLA-DRA
HLA-DMB	CD74
HLA-G	LILRB2
HLA-G	KLRD1
HMGA1	SUFU
HMGA1	HIPK2
HNRNPH1	NFKB2
HNRNPH1	ELAVL2
HNRNPH1	KHSRP
HOOK1	AKTIP
HSF1	HSBP1
HSF1	HSP90AA2P
HSF1	HSF2
HSF2	NCAPG
HSPA2	HSF1
HTR1A	GABRB2
HTR1A	GNAT3
HTR1A	HTR1B
HTR1A	GNG7
HTR1A	GNGT1
HTR1A	GNG3
HTR1A	HEXIM1
HTR1A	S1PR1
HTR1A	GNG13
HTR1B	GNG7
HTR1B	GNAT3
HTR1E	GNG7
HTR1E	GNAT3
HTR5A	GNAT3
HTR5A	GNG7
HTR6	GNG7
HUS1	TIPIN
HUS1	RAD9B
HUS1	RRAD
HUS1	RAD1
HUS1	TIMELESS
HUS1	RFC4
ICAM1	ITGAM
IGHG1	SCAF1
IGHG1	FGA
IGHG1	KRT1
IKZF1	SIN3B
IL12RB1	IL23R
IL7	STAT5B
INCENP	CENPM
INCENP	KIF2C
INCENP	CENPI
INCENP	CENPP
INCENP	CENPN
INCENP	SPC25
INCENP	ZWILCH
INCENP	NUF2
INTS7	INTS9
INTS7	INTS4
INTS9	INTS4
IPO13	EIF1AX
ISG15	REV1
ISG15	RFC4
ISG15	MX1
ITGA3	LAMA4
ITGA3	BIN1
ITGA3	ITGB3
ITGB3	FGA
ITGB3	FLNB
ITGB3	LAMC1
KANSL3	KANSL2
KCNA2	KCNAB2
KCNB1	KCNAB2
KCND2	KCNAB2
KHDRBS3	LNX1
KIF20A	RACGAP1
KIF20A	RAB6B
KIF23	RACGAP1
KIF2A	NUF2
KIF2A	CENPN
KIF2B	NUF2
KIF2B	MAPRE1
KIF2B	SKA1
KIF2B	CENPN
KIF2C	CENPP
KIF2C	CENPN
KIF5B	KTN1
KIF5B	KIF5A
KIF5B	BCAR3
KLHL12	LNX1
KLHL12	UBXN1
KLK2	SEMG2
KLRC3	KLRD1
LAMA2	LAMB2
LAMA4	ATF7IP
LAMA4	UBR1
LAMC1	LAMA2
LAMC1	LAMB2
LAPTM5	EPN2
LAPTM5	UBAC1
LAPTM5	USP13
LASP1	PRKAR2B
LASP1	UNC13D
LBP	CD14
LDLR	LDLRAP1
LDLR	PF4
LGALS1	SCAF11
LGALS1	VPREB1
LIMS1	TGFBR1
LMNB1	PLEC
LMNB1	PRPH2
LMOD1	ACTG2
LNX1	UNC13D
LPAR3	GNAT3
LPAR3	GNG7
LRP1	FURIN
LRP1	MAPK8IP2
LRP2	SLC9A3
LRP2	TG
LRP2	MAPK8IP2
LRP2	DNAJC6
LRP2	LDLRAP1
LRP2	SHBG
LRP6	FZD5
LRP8	MAPK8IP2
LUC7L2	PTCD3
LUC7L2	NAP1L5
LUC7L2	ATF7IP
LZTS2	RBFOX1
MAD2L1BP	IGSF21
MAD2L2	ADAM15
MAD2L2	ADAM17
MAD2L2	CDH1
MAD2L2	REV1
MAGT1	DDOST
MAP2	PLEC
MAP2	METAP2
MAP2K7	MAPK8IP3
MAP2K7	MAP3K2
MAP2K7	CNKSR1
MAP2K7	MAPK8IP2
MAP3K7	HIST1H4C
MAP3K7	HSPA1L
MAP3K7	HIST1H4A
MAP3K7	CAD
