genename	p_value	fdr
6043	NUCB1	0.268974512571443	0.30531998620724
90	ACTBL2	0.26944922787057	0.305824723321132
7287	RASAL1	0.26965290790547	0.306021757264876
896	BPIFA1	0.270164936405475	0.306568644512314
9900	XRN2	0.270218522830147	0.306595252370185
2534	EDC4	0.270363013978698	0.306724985079212
8864	TCEAL1	0.270833100628402	0.30722403352952
1159	CASP9	0.271159044242086	0.307559477876546
4220	INSM1	0.271978718294988	0.30845479389241
7133	PYY	0.27204475947511	0.308495300205139
2693	EMX2	0.273349922983123	0.309940789847003
10123	ZNF653	0.273393528644238	0.309955685601006
9282	TRHDE	0.273547380232924	0.310095553722926
9573	UIMC1	0.274010466446547	0.310555905760029
8921	TESC	0.274014529647304	0.310555905760029
2185	DDC	0.274778240903997	0.311386771161453
2475	DUSP26	0.275647626613084	0.312337191527613
3181	FUS	0.276646047301016	0.313433593851569
189	AFF2	0.278055551936434	0.314995448758279
2049	CUL1	0.278347615754081	0.315291203102802
3465	GOLM1	0.279443954995836	0.316496461357867
3517	GPR84	0.279473873230877	0.316496461357867
3575	GRM4	0.279716068062332	0.316735480899166
8691	SUMO1	0.279984804012596	0.317004497631623
8741	SYT11	0.28029844386667	0.317324289946098
8601	STAP2	0.280434418241307	0.317442899384536
3511	GPR26	0.280743191658935	0.317757063723447
4903	LUC7L2	0.281644081023866	0.318741265575235
1425	CDH3	0.282036655220276	0.319150043777071
1273	CCNC	0.283814139124565	0.321125707631431
629	ATG16L1	0.283981395733343	0.321279219172075
6992	PSMA3	0.284290236647022	0.321592858602263
8146	SLC12A6	0.28512466855701	0.322500917637365
4669	L1CAM	0.285190956169773	0.32254003303114
623	ATF7IP	0.285714689083372	0.323096435309597
9945	ZBTB43	0.28595640244973	0.323333831512849
4600	KLK8	0.286378823912646	0.323775480736091
9128	TNFAIP1	0.287267032083333	0.324743584552033
2416	DPPA2	0.287580286918124	0.325034920500832
2483	DVL1	0.287588648326746	0.325034920500832
6849	PPP4R3A	0.287661041367418	0.325080623620389
5279	MMP16	0.288559536861433	0.326059776573515
5300	MOB1A	0.29022634719756	0.327906778103151
8351	SNRNP70	0.291046633822196	0.328797046737724
4949	MAGEA5	0.291147886082614	0.328874910628296
5570	MYO5B	0.291406199099549	0.329130150265318
647	ATP1A3	0.2924723208901	0.330297615498999
6587	PLA2G7	0.292790463152391	0.330620199983269
8587	ST8SIA2	0.29297766527824	0.330794871129361
2516	EBAG9	0.293890489060704	0.331788696616862
5022	MAPK15	0.294136968721875	0.332030113493968
7625	RPN1	0.294178957500629	0.332040667330955
6332	PDCD4	0.294850130578222	0.332761302237881
1224	CCDC50	0.294979670477406	0.332870569913106
4512	KIF13A	0.295699723239478	0.333646105203551
1895	CPOX	0.295988039461395	0.333934382326801
1089	CAMK1D	0.296076430870727	0.33399706489775
7567	RORA	0.296206080132646	0.334106270450095
9357	TRPV5	0.297050559903724	0.335021656973457
8977	THAP12	0.297399694869801	0.335378239209676
1250	CCL18	0.297706358563391	0.335686852767166
5423	MS4A2	0.297801067638467	0.335756429245941
6212	PAG1	0.297956573099174	0.335894527719182
6884	PREX2	0.298537216864385	0.336511812427854
537	ARL6	0.298981991199286	0.336975825002253
2829	EXOC1	0.299959864097801	0.338040511517329
550	ARNT2	0.300436348871852	0.338539984168514
3301	GCLM	0.300762870403208	0.338870382169879
1626	CHRNA9	0.300906813247112	0.338995017847494
1941	CRLS1	0.301313612050801	0.339415720893899
9988	ZFHX3	0.301703162595477	0.339816903574378
9782	WBP2	0.301823470287767	0.339914775073337
7285	RASA2	0.30219969093395	0.340300803173686
722	AXIN2	0.302536728077403	0.340642626976361
6940	PROKR1	0.302784659013674	0.340884056678409
6669	PMM1	0.303452574509851	0.341598211850029
4997	MAP3K20	0.303659485104258	0.341793310684401
5486	MTRR	0.304217431697087	0.342383442046074
2289	DIS3L2	0.304505232314532	0.342618465685528
5996	NRK	0.304517984753055	0.342618465685528
5247	MKNK1	0.304527294478379	0.342618465685528
1433	CDIPT	0.304596730429795	0.342658690552063
8326	SNAP23	0.304725501398288	0.342765648576381
4561	KLF12	0.304966607888448	0.342998927810855
5345	MRI1	0.305718950640622	0.343807084331976
5122	MDH1	0.305791300676058	0.343850436805298
451	AQP5	0.306014036149005	0.344062863587957
2138	DAPK3	0.30610754423189	0.3441299643575
4595	KLK2	0.3061947649478	0.344189982741875
5685	NDFIP1	0.306696856472256	0.344716287801598
8442	SPAG9	0.307514153955257	0.345596717652103
2909	FAM173A	0.308037693272344	0.346146852276544
4285	IST1	0.308109180998729	0.346188943925345
4125	IL17C	0.308462177865783	0.346547292703326
1392	CDC42	0.308661313569238	0.346732723381168
4459	KCNV2	0.308877771848173	0.346937570167988
4526	KIF22	0.309599854770541	0.347710236540154
2288	DIS3L	0.311168421641458	0.349433309786793
1066	CACTIN-AS1	0.311262679897366	0.349500578652969
9593	UNC80	0.311926405115632	0.350207186760989
3641	GYG1	0.3119938792984	0.350244287585811
7578	RPA4	0.312115303288962	0.350341937587842
9199	TOMM22	0.312370060412157	0.350589212772823
2851	EXT2	0.312448716670558	0.350638808018708
764	BARX2	0.312627406265772	0.350800640187701
5068	MATR3	0.313159309691873	0.351358735799649
6129	OPRD1	0.314098393018642	0.352373505974707
8514	SRA1	0.314690065073775	0.352998349541902
6051	NUDT18	0.31485978887637	0.353149794072692
9235	TPM2	0.315228048059845	0.353523859873531
8520	SREK1	0.315648274765249	0.353956117635238
3640	GXYLT1	0.31599884396348	0.354310177409951
5990	NRG2	0.317209453381786	0.355628363373695
9279	TREML1	0.317366337460239	0.355765041430635
5986	NRDC	0.317455188569416	0.355825433375569
6269	PAX7	0.317781336927007	0.356151761656764
6093	NXT1	0.318059717427787	0.356424488366698
8852	TBR1	0.318536978993342	0.356920000803973
3607	GTF2F1	0.318671470947254	0.357031373782645
3952	HSF1	0.319252737541405	0.357643222002941
9881	XIAP	0.319562003530117	0.357950260065171
5773	NEUROG1	0.319934301663443	0.358299555735235
9538	UBR2	0.319944280379325	0.358299555735235
7129	PYDC1	0.320321141019314	0.358682109806218
1260	CCL27	0.320516693691483	0.358833211972186
7621	RPL7L1	0.320526629036789	0.358833211972186
9499	UBE2D2	0.320893581152207	0.359204489553411
9466	TXNL1	0.322310400719106	0.36075076537743
4785	LINC00312	0.322622553604654	0.361060422202436
968	C1D	0.322756205907098	0.361170265393565
679	ATP6V0E1	0.323035070485133	0.36144256181756
4539	KIF5C	0.323244663696189	0.361637299437076
5421	MRVI1	0.323583686102857	0.361976780154428
4753	LGI4	0.324042328237684	0.362449984074982
1145	CARNS1	0.324105321051584	0.362480588286913
8003	SF3B5	0.324422110904812	0.362795002114395
3686	HBP1	0.32584386550756	0.364344871818906
1393	CDC42BPA	0.326502794655915	0.365041535337358
2196	DDT	0.326957444139069	0.365509679035906
5529	MYF5	0.327022514723685	0.365542252750692
4642	KRT33A	0.327096680087296	0.365584984237317
4806	LMO7	0.327379048328432	0.365860382142715
4468	KCTD5	0.327452704840367	0.365902500696512
6998	PSMB1	0.328210707709028	0.366709228942773
4434	KCNJ3	0.328938948051277	0.367482530037957
2245	DGCR2	0.329770068726224	0.368370584072897
2945	FANCL	0.330210265380671	0.368821808269386
6072	NUP50	0.330252336070782	0.3688283033097
5632	NARS	0.330502106236418	0.369066731804949
3513	GPR37	0.330836013628211	0.369399052424519
3994	HTR3E	0.331683582065525	0.370304771768282
9339	TRO	0.332236752920292	0.370881651207959
3456	GNRHR	0.332962583288043	0.371651125717496
3345	GH1	0.333686716584226	0.372418537335308
4388	KBTBD8	0.334221845016436	0.372974860613449
6297	PCED1B	0.334460701931158	0.373200473921868
846	BIRC3	0.335029802395062	0.373794492187428
8388	SOBP	0.335269935624422	0.373985257994743
8491	SPR	0.335274309732828	0.373985257994743
7658	RPS6	0.335604499814697	0.374312528956793
9333	TRMT10C	0.33569202372576	0.374369102977653
2218	DDX50	0.336025735334111	0.374700186950994
3294	GCG	0.336267941994629	0.374929172940745
6724	POLR2E	0.338098235621614	0.376928586408623
3698	HCRTR1	0.338424464490146	0.377250939870508
5615	NAGA	0.338588942078475	0.377392933906467
1534	CEP57	0.339394357098308	0.37824921064429
9694	VASP	0.339780141371366	0.378637679720769
4446	KCNMB1	0.340173729542639	0.379034759105944
5495	MUC2	0.340828347146303	0.379722568778813
8656	STT3B	0.341044316213177	0.379882575085349
5428	MSC	0.341046648801188	0.379882575085349
7523	RNF141	0.34120341564669	0.380015584341338
8300	SMCP	0.342655344646496	0.381590894481533
2290	DISC1	0.342756107674246	0.381643289834763
5183	MESD	0.342777424478544	0.381643289834763
9047	TLE3	0.342824610011432	0.38165405533446
6276	PBRM1	0.343103078150687	0.381922268741322
5016	MAPK1	0.343250230760766	0.382044266688104
1684	CLDN5	0.343643454957034	0.382440090501904
6490	PIAS2	0.343893006152454	0.382675951825521
429	APOC1	0.34435425985008	0.383147313294855
9809	WDR60	0.344622678143963	0.383404035953471
1618	CHRM4	0.344744686200693	0.383497834086348
3228	GABRB2	0.34513265021662	0.383887431735587
195	AGAP2	0.345851834943323	0.384645317249199
5477	MTMR8	0.345891196013082	0.384647041652939
3049	FGF22	0.346284223977125	0.385042016670598
8338	SNCB	0.346859441968144	0.385639464824255
5978	NR5A1	0.347532764011902	0.386345842890731
9683	VAMP3	0.347733345820512	0.386526587306826
963	C18orf25	0.347873734810112	0.38664039159
2096	CYCS	0.34871537840914	0.387533487497945
3595	GSR	0.348839317569064	0.387628877949764
1615	CHRM1	0.348894422237236	0.38764776730225
9801	WDR4	0.349480059655042	0.388246400579279
8739	SYS1	0.349509538632167	0.388246400579279
8171	SLC22A6	0.349800384438192	0.388527056544353
5315	MORF4L2	0.350106140231492	0.388824210106438
7904	SECISBP2	0.350271845332673	0.388965776942395
8367	SNU13	0.350629418946879	0.389320353519602
6637	PLN	0.350890172811181	0.389567360908889
6765	POU3F4	0.352786538999889	0.391630015413124
1333	CD2AP	0.35316084927055	0.392002762643678
4315	ITGB7	0.353593359647713	0.392440022659413
9576	ULBP3	0.354323729981174	0.393174383317994
681	ATP6V1A	0.354332325396576	0.393174383317994
1808	COL4A3BP	0.354914829689363	0.393777790645642
8544	SRSF3	0.35499848732242	0.393827656655504
4665	KTN1	0.355097804620691	0.393894882390828
2072	CXCL13	0.355309710538864	0.394086969615336
2332	DNAAF4	0.356821191954028	0.395702229945102
7911	SELENOF	0.356843827535277	0.395702229945102
1740	CNGA3	0.357418278876976	0.396296038257818
604	ASIP	0.357707830572654	0.396573862294639
4810	LMX1A	0.357871717447632	0.3967123222834
3774	HIRA	0.358287807456399	0.397130296933313
2547	EEF1B2	0.359630967321384	0.398575643377323
9183	TNRC6A	0.3605363789866	0.399535575537111
3199	FZD5	0.360591250011399	0.39955285768064
4009	HYPM	0.361948100705708	0.40101263651483
10086	ZNF423	0.362052034913943	0.401084106629592
5716	NDUFB7	0.364140192110482	0.403353459749557
783	BCAP29	0.364641379079988	0.403864643372969
5027	MAPK7	0.365077349173229	0.404303491523978
4744	LGALS13	0.365318725755302	0.404520184583461
5873	NMUR2	0.365352546540139	0.404520184583461
3307	GDE1	0.365740356480673	0.404905500759374
4375	KAT6B	0.366617432892471	0.405832333494571
9821	WDR97	0.366798447935682	0.405988533440288
7264	RANGAP1	0.36702374753033	0.406193710142085
1200	CCAR2	0.367255635658068	0.406406133095782
9802	WDR43	0.367412972149411	0.406536019760273
9207	TOP2B	0.368535753917166	0.407734010288128
2181	DCUN1D1	0.368937712980731	0.408108514749513
5284	MMP24	0.368954488366389	0.408108514749513
121	ADAM2	0.369203077571024	0.408339085467496
2187	DDIT3	0.369510863108502	0.408635070160103
6217	PAIP2	0.37089387859347	0.410119937709932
6804	PPP1CB	0.371061810844736	0.410261037031138
4592	KLK1	0.371432622492365	0.410626393024867
9383	TSPAN3	0.371549910996321	0.410711425031574
4847	LRP2BP	0.372305981806535	0.411502472068435
7015	PSMD12	0.372895030882285	0.412108761451981
548	ARMT1	0.372996147594528	0.412175734247136
4010	IAPP	0.373559074153314	0.412752955507946
6242	PARD6A	0.374549744103262	0.413802622367776
286	ALOX12B	0.374797410196768	0.414031279610351
7843	SCN2B	0.376545936812921	0.4159176780888
9019	TIMM21	0.377389274623043	0.416803939934884
3588	GSE1	0.377973264841073	0.417403606516309
828	BEX2	0.378411344854319	0.417842028785736
1672	CLCA2	0.378653130779337	0.418063631367288
7777	SAFB2	0.379052617805287	0.418459281707345
8740	SYT1	0.379148762578235	0.418520004525649
240	AK5	0.380612856150087	0.420090548509801
4002	HUS1	0.380954719099586	0.420419432548151
7170	RAB2A	0.380993487531839	0.420419432548151
10127	ZNF679	0.381978881163598	0.421461080051765
5045	MARCH7	0.382213493772424	0.421674208019398
6331	PDCD2	0.382399740744183	0.421829689845911
6972	PRRX2	0.382437356674416	0.421829689845911
4046	IFNA2	0.38320372127268	0.422629169178986
4853	LRPAP1	0.383874137439498	0.423322666685313
8550	SRY	0.384763220953173	0.424257126247196
3562	GRIN3B	0.384998191289947	0.424470207000393
5498	MUC5AC	0.385358301241986	0.424821196200121
6950	PRPF38B	0.385470038153328	0.424854175535071
232	AIMP1	0.385471742867267	0.424854175535071
2384	DOCK1	0.385885711664533	0.425264364073589
5755	NEK9	0.386159272127969	0.425519743864582
9924	YWHAQ	0.386628358104918	0.425990500054298
5842	NKX2-3	0.386684628813898	0.42600636007405
1700	CLIC4	0.386943655462175	0.426237952316414
8571	SSTR4	0.38697864224854	0.426237952316414
3393	GLRA4	0.387721983616308	0.427010473024651
185	AFAP1	0.387968512243045	0.427235730141642
7053	PTGES	0.388069699687312	0.427300904309884
3227	GABRB1	0.388221479604374	0.427421765369621
3168	FSHB	0.388899044925071	0.428121413702278
9652	USP48	0.389324205275286	0.428520263453655
2674	EMC4	0.389345600619496	0.428520263453655
5734	NECAP2	0.390608050157676	0.429863229581787
2271	DHX36	0.391640836276398	0.43094362767682
9994	ZFP91	0.391674509141834	0.43094362767682
488	ARHGAP4	0.39205300710868	0.431313425036942
496	ARHGEF10L	0.39350902315775	0.43286843561676
5693	NDUFA11	0.394373204572804	0.43377214943444
593	ASCL4	0.395161990157989	0.434592748743484
6159	OSGEP	0.395718004140822	0.435157199883752
9445	TULP2	0.396493913529121	0.435963314130106
919	BRS3	0.397664567036063	0.437203246564127
9967	ZCCHC12	0.398565309107187	0.438146195109944
5336	MPPED2	0.39921328930719	0.438811106658244
7548	RNGTT	0.399469426664864	0.4390452114803
1122	CAPN8	0.399529484930788	0.439063784185039
1762	CNOT8	0.39972740900824	0.439233844441653
5411	MRPS33	0.399830087762098	0.439299220520988
5266	MLX	0.400521226104387	0.440011061896321
5163	MEF2A	0.400634346718925	0.44008781008224
8668	STX5	0.4021114468696	0.441662680738981
3267	GART	0.403030712832348	0.442624575369046
5838	NKRF	0.403782984656886	0.443402882438957
4647	KRT37	0.404188010181839	0.443799743937383
6569	PKN2	0.40442156077363	0.44396097012808
9732	VPS13D	0.404459017077644	0.44396097012808
5400	MRPS18B	0.404465769305715	0.44396097012808
218	AHCYL1	0.404833128292633	0.444316260019522
5268	MLXIPL	0.405429540253824	0.444922838511559
3257	GALR1	0.406776564618538	0.446352927609145
9548	UBXN4	0.407503206185868	0.44710204017783
482	ARHGAP27	0.407768487573362	0.447344853238845
6284	PCBP1	0.40807178553073	0.447629315743381
9227	TPD52	0.408455801549974	0.448002250045055
6183	P2RX3	0.408747402415731	0.448273752131871
7921	SEMA3B	0.40918559652418	0.448705947336475
6384	PDX1	0.409247459167935	0.44870647585613
3555	GRIK5	0.409274293666473	0.44870647585613
2834	EXOC5	0.409460977483543	0.448862771976302
8716	SYCE1	0.410411880295508	0.449856702752527
2140	DARS	0.411078429936327	0.450538770495825
251	AKAP5	0.411252437030134	0.450680926630136
3273	GATA1	0.412347041118361	0.451831801949277
5840	NKX2-1	0.412434229084524	0.451857691762268
39	ABCG8	0.412459503165676	0.451857691762268
1314	CD151	0.413338644708639	0.452772050459888
8106	SINHCAF	0.413424168906795	0.452816975698624
4841	LRP1	0.413970571419765	0.453366629675237
954	C11orf16	0.415222338711343	0.454688573919321
7872	SDCBP	0.415367130839765	0.454798172643734
4110	IL10RB	0.417012155330272	0.456550221284423
3986	HTR1E	0.417174493948629	0.456678804147143
2743	EPN1	0.417314556504633	0.456779334328487
7251	RALGPS2	0.417356130205769	0.456779334328487
422	APOA2	0.417533089174903	0.456923850707432
4805	LMO4	0.417964359685766	0.457346609775551
9623	USH1G	0.418098420943947	0.457444099404471
119	ADAM17	0.420454499264132	0.459972429402518
3259	GALR3	0.420715899353925	0.460208907970697
5776	NF1	0.421224524751475	0.460715739199737
2788	ERP27	0.422055546130783	0.461575045236342
8301	SMG1	0.422330406471652	0.461825994306795
9239	TPO	0.422700306559216	0.46218080595732
9000	THRAP3	0.424194318526284	0.463720135895667
5790	NFE4	0.42419931039468	0.463720135895667
1167	CATSPERB	0.425375920588242	0.464956402723132
9455	TWISTNB	0.426094364297556	0.465691659647511
2650	ELK3	0.427077921067777	0.46671647771216
8745	SYT17	0.428006409427145	0.467680902588867
1641	CIAO2A	0.428931837481588	0.468641776683514
4123	IL17A	0.430227080879842	0.470006453370987
4535	KIF3C	0.430681079914772	0.47045190872683
8449	SPATA46	0.431404641475253	0.471191691832484
4200	INHBB	0.431896650124095	0.471678434966443
2435	DSC2	0.432381196998903	0.472156925404663
51	ABRA	0.432591873465292	0.472336280858904
7007	PSMB9	0.433025624237159	0.472759140949197
9673	UTS2B	0.433111221199674	0.472801851407263
5613	NADSYN1	0.433358474886548	0.473021004830564
8609	STAT5A	0.433980591870345	0.473649239469694
7101	PTPRN	0.434123962857381	0.473754888880941
8786	TAF13	0.435516224976011	0.475223271123132
8572	SSTR5	0.435805105642323	0.475487488170244
7751	RYR3	0.436357996690502	0.475998051727887
9242	TPPP	0.436366640166546	0.475998051727887
4667	KY	0.436901738404414	0.476530651312116
7305	RASSF7	0.437047573616329	0.476638611320639
1137	CARD19	0.437731790235508	0.477333637267212
3335	GFRA4	0.437958872213499	0.477490175679359
7836	SCLT1	0.437969215498289	0.477490175679359
4758	LHX1	0.438112040133226	0.477594704701598
3780	HIST1H1T	0.438501662832442	0.477968222007332
5541	MYL1	0.438922162901714	0.478375312106186
6683	PNO1	0.439033845999063	0.478445775613119
4858	LRRC23	0.439118778247753	0.478466704623722
1300	CCR8	0.439147116983357	0.478466704623722
5892	NOP10	0.439370567217046	0.478658897012102
3085	FKBP4	0.439482185212955	0.478729229057864
3479	GPAT4	0.439905567474427	0.47913911540871
1456	CDK6	0.440112577645184	0.479313269712499
6547	PITPNM1	0.440216958098523	0.479375627781661
1373	CD93	0.440477911311224	0.479567071787994
2709	ENTPD1	0.440487045983193	0.479567071787994
7828	SCGB1D1	0.440572991298041	0.479609314122522
7453	RHO	0.441470502330086	0.480534926193448
3726	HECTD3	0.441519884196718	0.480537261360138
9904	YARS	0.441630296566876	0.480606012727303
6678	PNLIP	0.442753446556441	0.481776747440226
5810	NGB	0.443663515274641	0.482715394747478
7750	RYR2	0.446506952414149	0.485741234654443
8803	TAF8	0.446540059617453	0.485741234654443
4380	KATNAL2	0.446607673346584	0.485762841971004
1497	CELSR1	0.447895844500826	0.48711186937213
3655	H3F3B	0.447968482609724	0.487138789266566
135	ADAT3	0.448451328738695	0.48761173228503
6028	NTN1	0.449228053048784	0.488404080759355
7022	PSMD6	0.449335167222184	0.48842372231617
7486	RIOX2	0.449342142647894	0.48842372231617
495	ARHGEF1	0.44958921735035	0.488640075652255
4450	KCNQ2	0.449643110441295	0.488646444025136
7371	RDX	0.450919387440218	0.489981086138574
7814	SCAND1	0.45109799733599	0.490085445977827
3461	GOLGA4	0.451111777856716	0.490085445977827
1639	CHUK	0.451360867148427	0.490303694767853
4881	LSM5	0.451477844948142	0.490378402376409
6561	PKD2L1	0.45207553304649	0.490975167896012
4448	KCNN4	0.453260408727712	0.492209451108776
8593	STAC3	0.453545579142397	0.492466557435756
4888	LTA	0.454290546736557	0.493222810240235
2993	FBXO7	0.454500948554449	0.493398586025441
3603	GTF2A2	0.455412755994787	0.494335677201768
8040	SH2D3C	0.456305835968616	0.495252242538006
8874	TCF7	0.457032158924449	0.49596105713048
5469	MTMR10	0.457056415078959	0.49596105713048
9187	TNS3	0.457232338671098	0.496099038108051
86	ACSL6	0.45827250706592	0.497174598952928
7327	RBM11	0.458933889681667	0.497839033880529
8731	SYNGAP1	0.459258489880364	0.498138033644625
7796	SARS	0.459340557786414	0.498173933300767
4387	KBTBD7	0.459617344424633	0.498420983352712
368	ANXA7	0.460734913529149	0.499579649896827
9724	VLDLR	0.460792733245077	0.499589094671445
8058	SH3PXD2A	0.460941376512582	0.499696997363864
7562	ROPN1	0.461490837288526	0.500239348719891
4038	IFI6	0.462113051572028	0.500860438274264
6368	PDK1	0.462279901630005	0.500987902341753
8578	ST14	0.462787268617968	0.501484329319407
6254	PARP4	0.464222489154166	0.5029859816983
651	ATP1B3	0.465946993064218	0.504800719961905
2209	DDX39B	0.468744553367042	0.507777482845588
8891	TDH	0.46892145360893	0.507915028488463
4577	KLHL13	0.469641447816969	0.508640737638883
5769	NEURL4	0.471353613950917	0.51044074033667
9345	TRPC4	0.472548435374571	0.511680173822833
3653	H2AFY2	0.473884238913488	0.513071984085453
10012	ZKSCAN8	0.474056497765934	0.513203868444487
8673	STXBP2	0.477427630430921	0.516798391612445
6825	PPP1R8	0.478778222965911	0.518205219941719
2355	DNAJC1	0.47965408008681	0.519097974119481
6298	PCF11	0.480953902026967	0.520449318723576
7854	SCNN1D	0.481725275057187	0.521228592124735
6465	PHF20	0.481812849913473	0.521267906218203
648	ATP1A4	0.482123936933135	0.521549001533474
9849	WNT3	0.482350737172497	0.521725909904541
6380	PDPN	0.482390043110401	0.521725909904541
4584	KLHL26	0.483118196243278	0.522457894162099
2678	EMC9	0.483170662992847	0.522459093816563
1535	CEP63	0.483863361459098	0.523152511013222
7259	RANBP10	0.485235719070594	0.52458054942669
4402	KCNC1	0.486031371734126	0.525384884141033
2033	CTSC	0.486750170653097	0.526105980243727
5352	MRPL14	0.486989390242406	0.5263086228552
9414	TTC8	0.487353796899987	0.526646502641126
4171	IL4	0.487461771336122	0.526707233117617
4551	KIT	0.487524601158978	0.526719176676963
2392	DOCK7	0.48767462562788	0.526825312361944
2045	CTU2	0.488579856495053	0.527747173510743
5415	MRPS5	0.488906819372432	0.528044280016535
3433	GNB3	0.489386266349436	0.528505996557623
7593	RPL13AP17	0.489982879440371	0.529094133589523
4643	KRT33B	0.49158800332158	0.53077104200705
2580	EHD1	0.492420718121546	0.531613707465827
7721	RTN4RL1	0.492951294046698	0.532130041843915
3092	FLG	0.495520073276322	0.534846228693902
6601	PLCD1	0.497801533776291	0.537251750806939
1967	CSF2	0.4994421026519	0.538965154373372
6901	PRKAG3	0.501099180375374	0.540696007844578
1062	CACNG5	0.502311933449457	0.541947109871814
6926	PRLH	0.502874230477855	0.542496240365983
8281	SMARCA1	0.505153117171386	0.544896899690861
8915	TEP1	0.505353927353576	0.5450557149033
6925	PRL	0.505550586990461	0.54521002029619
6021	NT5C2	0.505623582896287	0.545230942209447
1457	CDK8	0.505715300772626	0.545272046079483
8820	TARDBP	0.50709080704672	0.546697200093926
3892	HOPX	0.507199425044036	0.546756358055842
3737	HERC4	0.507904261705105	0.54745815366879
662	ATP5F1B	0.508281824095616	0.547756469535446
8226	SLC4A3	0.508288712514953	0.547756469535446
6862	PRADC1	0.509196489491427	0.548676611333151
2822	EVI5	0.509266600577205	0.548694040210963
4087	IGHG3	0.509601415332118	0.548996632232727
8239	SLC6A4	0.509702923407246	0.549047844114985
9083	TMEM102	0.509810147394049	0.549105201634691
9071	TM9SF2	0.510247835920426	0.549518445354488
6363	PDIA3	0.512171124797869	0.551531370018919
8506	SPTBN4	0.512843651596509	0.552167287738395
1652	CIR1	0.51287021545661	0.552167287738395
2887	FAIM2	0.513062240675489	0.552315574009709
6821	PPP1R3A	0.5147394246528	0.554053740182315
9190	TOB1	0.514785800865353	0.554053740182315
6152	OS9	0.515031792278107	0.554259856431311
4107	IKZF5	0.515368771498449	0.554563836730878
6929	PRM1	0.516871410845755	0.556121931521297
8958	TGFB2	0.51703719934594	0.556241479372488
2996	FBXW2	0.517684160409956	0.55687860461568
1949	CRTC3	0.518240425859564	0.557418043166562
1536	CEP70	0.520188892052383	0.559454656818785
5037	MAPRE1	0.520951660730616	0.560215776386105
4056	IFNLR1	0.521380222539051	0.560617377009805
8538	SRRM1	0.522366382250954	0.561618390048505
7728	RUNX1	0.523729690896618	0.563024637587582
7956	SERINC3	0.52401255608769	0.563269202565519
3783	HIST1H2AC	0.524846388970861	0.564105896988967
9913	YIPF5	0.525302957476149	0.564536972998612
6178	OXSR1	0.526350188236447	0.565586767606805
4150	IL21	0.526390987486604	0.565586767606805
5651	NCAPD3	0.528022777326648	0.567280147190199
4054	IFNGR2	0.528803982751832	0.568059442083885
1083	CALML5	0.529238142371804	0.568465803225464
3629	GUCA2A	0.529698952648718	0.568900701572573
7792	SAR1A	0.530001976563853	0.56916606223837
6920	PRKG2	0.530274777968679	0.569398914531915
1047	CACNA1G	0.530454786153367	0.569532088605615
1125	CAPNS2	0.530718774342627	0.569755391661834
766	BATF	0.53136651323844	0.570390581320529
8503	SPTB	0.532387718657144	0.57142648891107
3392	GLRA3	0.532495454485841	0.571481829147005
4509	KIAA2026	0.532959064305463	0.571919046537919
2597	EIF2A	0.533817001308954	0.572779280067081
8130	SKAP2	0.533911040306353	0.572819765137791
7810	SCAMP1	0.53414430664377	0.573009599439742
1675	CLCN5	0.534313412228355	0.57313057176287
3929	HPRT1	0.534456215668353	0.573223308591898
3997	HTR6	0.53462695800823	0.573345988173911
7875	SDF4	0.535475984020296	0.574195971902443
5195	METTL9	0.535854353885622	0.574541140606918
2473	DUSP22	0.538247072862162	0.577045786935059
9205	TOP1	0.538560972893317	0.577321472839169
3203	FZD9	0.538711158443795	0.577421622047068
8674	STXBP3	0.538904107529005	0.577567581741737
1027	CA6	0.539065392658786	0.577679578586099
108	ACVR1B	0.540003542126541	0.578622870101404
4278	IRX4	0.540059387753154	0.578622870101404
4048	IFNA8	0.540477875967918	0.579010260343474
1695	CLEC5A	0.540945051938898	0.579449722372792
8383	SNX6	0.541973958561906	0.580490408016419
2024	CTNNBL1	0.542030707337852	0.580490408016419
7569	RORC	0.542226577701691	0.580600546375435
7946	SEPT2	0.542247694005014	0.580600546375435
5480	MTNR1B	0.543717038188171	0.582092695289371
5459	MTFR1	0.543755714473105	0.582092695289371
2904	FAM160A2	0.545119902578116	0.583491663397219
7099	PTPRK	0.546964613811058	0.585404630857432
5549	MYL7	0.5479665995281	0.586415339469741
9217	TP53AIP1	0.548814667229513	0.587261134924354
407	APBB2	0.549938926342087	0.588402261009471
6675	PNISR	0.551036701768147	0.589514814080067
2771	ERCC6	0.551571743280919	0.590025167654762
5358	MRPL2	0.553356307162979	0.591871907556407
5760	NELL1	0.553675354688788	0.592150902360076
5330	MPP2	0.553802726901521	0.592224865002541
9772	WAPL	0.554436604442358	0.592840401197404
4083	IGFBP7	0.555735454339733	0.594166765843206
8612	STAU1	0.55684162504653	0.59528686965094
6195	P4HTM	0.557313781817441	0.595729022005761
6221	PAK3	0.557537594999352	0.595905647607523
6875	PRDX2	0.557742037067247	0.596061534098656
7399	REV3L	0.558790861188752	0.59711968811693
1359	CD63	0.559101362997639	0.597388737083813
2758	ERAP2	0.559303876066289	0.597542357826334
9375	TSKS	0.560604725561167	0.598869250565343
82	ACP1	0.56207432808216	0.600376117133537
4782	LIN7B	0.564293582251527	0.602683318870843
4116	IL12RB2	0.564487755251489	0.602827412783267
5709	NDUFB1	0.564554024105244	0.602834899467057
