Gene1	Gene2
39843	NIPBL	PRSS23
39844	NIPBL	STAG1
39845	NIPBL	PDS5B
39846	NIPSNAP1	TBC1D17
39847	NIPSNAP1	RGS2
39848	NIPSNAP1	CDH1
39849	NIPSNAP2	GABARAPL2
39850	NIPSNAP2	CDH1
39851	NIPSNAP3A	ELP1
39852	NIPSNAP3A	IMMT
39853	NISCH	ITGA5
39854	NISCH	AR
39855	NISCH	IRS4
39856	NIT1	ZFYVE9
39857	NKAP	LUC7L2
39858	NKAP	THAP1
39859	NKD1	PPP2R1A
39860	NKD1	PPP2CA
39861	NKD1	PPP2R3A
39862	NKD1	DVL3
39863	NKD2	TGFA
39864	NKIRAS1	ACVR1
39865	NKIRAS1	SMURF2
39866	NKIRAS1	NFKBIA
39867	NKIRAS1	BMPR1B
39868	NKIRAS1	TGFBR1
39869	NKIRAS1	NFKBIB
39870	NKIRAS2	NFKBIA
39871	NKIRAS2	NFKBIB
39872	NKRF	NFKB1
39873	NKRF	BCL6
39874	NKRF	NFKB2
39875	NKRF	RELA
39876	NKRF	REL
39877	NKTR	ARRB2
39878	NKX2-1	CALR
39879	NKX2-1	CREBBP
39880	NKX2-1	TERT
39881	NKX2-1	RARA
39882	NKX2-1	ESR1
39883	NKX2-1	MAPK1
39884	NKX2-1	NCOA1
39885	NKX2-1	RELA
39886	NKX2-1	EIF2AK2
39887	NKX2-1	HSP90AA1
39888	NKX2-1	NCK1
39889	NKX2-1	ABL1
39890	NKX2-1	NR3C1
39891	NKX2-1	AHR
39892	NKX2-1	NCOA2
39893	NKX2-1	NCOA3
39894	NKX2-1	ARNT
39895	NKX2-1	ERBB3
39896	NKX2-1	CRK
39897	NKX2-2	OLIG2
39898	NKX2-3	SRF
39899	NKX2-5	CSNK2A1
39900	NKX3-1	SPDEF
39901	NKX3-1	SRF
39902	NKX3-1	HIPK2
39903	NLE1	EWSR1
39904	NLGN1	EPB41L3
39905	NLGN1	NRXN3
39906	NLGN1	LLGL1
39907	NLGN1	DLG4
39908	NLGN1	NRXN1
39909	NLGN1	NRXN2
39910	NLGN1	DLG3
39911	NLGN1	EPB41L1
39912	NLGN1	DLG2
39913	NLGN2	DLG3
39914	NLGN2	EPB41L3
39915	NLGN2	DLG2
39916	NLGN2	NRXN3
39917	NLGN2	EPB41L1
39918	NLGN2	NRXN1
39919	NLGN2	NRXN2
39920	NLGN2	LLGL1
39921	NLGN2	DLG4
39922	NLGN3	DLG4
39923	NLGN3	NRXN1
39924	NLGN3	NRXN3
39925	NLGN3	LLGL1
39926	NLGN3	NRXN2
39927	NLGN3	DLG2
39928	NLGN3	EPB41L3
39929	NLGN3	DLG3
39930	NLGN3	EPB41L1
39931	NLGN4X	NRXN3
39932	NLGN4X	EPB41L3
39933	NLGN4X	LLGL1
39934	NLGN4X	DLG2
39935	NLGN4X	NRXN1
39936	NLGN4X	EPB41L1
39937	NLGN4X	DLG3
39938	NLGN4X	DLG4
39939	NLGN4X	NRXN2
39940	NLGN4Y	EPB41L1
39941	NLGN4Y	NRXN1
39942	NLGN4Y	DLG4
39943	NLGN4Y	NRXN2
39944	NLGN4Y	NRXN3
39945	NLGN4Y	DLG2
39946	NLGN4Y	EPB41L3
39947	NLGN4Y	DLG3
39948	NLGN4Y	EPB41L2
39949	NLK	CREBBP
39950	NLK	MYB
39951	NLK	LEF1
39952	NLK	ATXN1
39953	NLK	MAP3K7
39954	NLK	STAT3
39955	NLK	HIPK2
39956	NLK	CTNNB1
39957	NLK	TCF7L2
39958	NLN	NTS
39959	NLRC4	ALB
39960	NLRC4	BCL10
39961	NLRC4	NOD1
39962	NLRP1	CASP1
39963	NLRP1	APOA1
39964	NLRP1	BCL2
39965	NLRP1	NLRC4
39966	NLRP1	CASP5
39967	NLRP1	APAF1
39968	NLRP1	NOD1
39969	NLRP1	CASP9
39970	NLRP1	CASP2
39971	NLRP1	BCL2L1
39972	NLRP12	PXN
39973	NLRP12	PYCARD
39974	NLRP12	IRAK1
39975	NLRP2	BRCA1
39976	NLRP2	CARD8
39977	NLRP2	RFC1
39978	NLRP2	BLM
39979	NLRP2	MRE11
39980	NLRP2	MSH2
39981	NLRP2	MDC1
39982	NLRP2	FANCD2
39983	NLRP2	TERF1
39984	NLRP2	ATM
39985	NLRP2	ATR
39986	NLRP2	RAD50
39987	NLRP2	ANTXR1
39988	NLRP2	MSH6
39989	NLRP2	MLH1
39990	NLRP3	KMT2A
39991	NLRP3	NLRC4
39992	NLRP3	PYCARD
39993	NLRP3	CARD8
39994	NLRP3	AVPR2
39995	NLRP4	CHUK
39996	NLRP4	NLRC4
39997	NLRP6	PABPC1
39998	NLRP6	PAN2
39999	NLRP6	ETF1
40000	NMBR	GNG13
40001	NMBR	GNGT1
40002	NMBR	GNG5
40003	NMBR	GNA14
40004	NMBR	NMB
40005	NMBR	GNAQ
40006	NMBR	GNG3
40007	NMBR	GNB4
40008	NMBR	GNG11
40009	NMBR	GNB3
40010	NMBR	GNGT2
40011	NMBR	GNB2
40012	NMBR	GNA11
40013	NMBR	GNB1
40014	NMBR	GNA15
40015	NMBR	GNG2
40016	NMBR	GNG4
40017	NMBR	GNG12
40018	NMD3	XPO1
40019	NME7	FKBP6
40020	NME7	ZNF263
40021	NME7	NT5C2
40022	NMI	NOL3
40023	NMI	MYC
40024	NMI	STAT1
40025	NMI	IFI35
40026	NMI	STAT4
40027	NMI	STAT3
40028	NMI	STAT5B
40029	NMI	CREBBP
40030	NMI	HGS
40031	NMI	STAT5A
40032	NMI	BRCA1
40033	NMI	STAT6
40034	NMI	PSMA1
40035	NMRK2	ST7
40036	NMRK2	SAT1
40037	NMRK2	CDKN1A
40038	NMRK2	LRP12
40039	NMRK2	ITGB1
40040	NMT1	MARCKS
40041	NMT1	PRKACA
40042	NMT1	FYN
40043	NMT1	LYN
40044	NMT1	GNAZ
40045	NMT1	HPCA
40046	NMT1	ANXA13
40047	NMT1	SRC
40048	NMUR1	GNA15
40049	NMUR1	GNG13
40050	NMUR1	GNA14
40051	NMUR1	GNG5
40052	NMUR1	GNAQ
40053	NMUR1	GNGT2
40054	NMUR1	GNAI3
40055	NMUR1	GNA11
40056	NMUR1	GNAI2
40057	NMUR1	GNG11
40058	NMUR1	NMS
40059	NMUR1	GNG8
40060	NMUR1	GNG4
40061	NMUR1	GNAI1
40062	NMUR1	GNG2
40063	NMUR1	GNG12
40064	NMUR1	GNB2
40065	NMUR1	GNB1
40066	NMUR1	GNB4
40067	NMUR1	NMU
40068	NMUR1	GNGT1
40069	NMUR1	GNG3
40070	NMUR1	GNB3
40071	NMUR2	GNGT1
40072	NMUR2	GNA15
40073	NMUR2	GNG5
40074	NMUR2	GNG4
40075	NMUR2	GNG3
40076	NMUR2	GNB1
40077	NMUR2	GNG13
40078	NMUR2	GNA14
40079	NMUR2	GNAI3
40080	NMUR2	GNGT2
40081	NMUR2	GNG2
40082	NMUR2	GNG12
40083	NMUR2	NMU
40084	NMUR2	GNB3
40085	NMUR2	GNAQ
40086	NMUR2	GNB4
40087	NMUR2	GNAI1
40088	NMUR2	NMS
40089	NMUR2	GNG11
40090	NMUR2	GNA11
40091	NMUR2	GNB2
40092	NMUR2	GNAI2
40093	NNT	MME
40094	NOA1	AIFM1
40095	NOA1	ARF1
40096	NOA1	MPP3
40097	NOA1	WDR18
40098	NOA1	ABCB8
40099	NOA1	COL9A2
40100	NOA1	HSPA8
40101	NOA1	ABCF3
40102	NOA1	NFU1
40103	NOA1	H1F0
40104	NOB1	RPS13
40105	NOB1	RPS26
40106	NOB1	BYSL
40107	NOB1	UPF2
40108	NOB1	CSNK1D
40109	NOB1	RPP38
40110	NOB1	CSNK1E
40111	NOB1	RPP30
40112	NOB1	RPS19
40113	NOC4L	VIM
40114	NOC4L	FBL
40115	NOC4L	DAZAP2
40116	NOC4L	PRSS23
40117	NOC4L	KRT15
40118	NOC4L	NT5C2
40119	NOC4L	UTP6
40120	NOC4L	PLSCR1
40121	NOD1	CFLAR
40122	NOD1	CASP2
40123	NOD1	CASP8
40124	NOD2	NLRC4
40125	NODAL	ACVR2B
40126	NODAL	ACVR2A
40127	NODAL	ACVR1C
40128	NODAL	ACVR1B
40129	NODAL	LEFTY1
40130	NOG	BMP2
40131	NOG	BMP4
40132	NOL11	NOL6
40133	NOL11	IMP4
40134	NOL11	MARK3
40135	NOL11	KRR1
40136	NOL11	RRP9
40137	NOL11	TBL3
40138	NOL11	DDX49
40139	NOL11	PWP2
40140	NOL11	HEATR1
40141	NOL11	UTP18
40142	NOL11	NOC4L
40143	NOL11	FBL
40144	NOL11	IMP3
40145	NOL11	UTP6
40146	NOL11	MPHOSPH10
40147	NOL12	SOD2
40148	NOL12	CDK4
40149	NOL12	SAP18
40150	NOL12	SF3B3
40151	NOL3	SMAD3
40152	NOL3	SP1
40153	NOL3	BRCA1
40154	NOL3	SMAD2
40155	NOL3	MAPK7
40156	NOL3	MAPK3
40157	NOL3	MSH2
40158	NOL3	RAF1
40159	NOL3	RELA
40160	NOL3	BAX
40161	NOL3	MSH6
40162	NOL3	RB1
40163	NOL3	MAPK8
40164	NOL3	TP73
40165	NOL3	FAS
40166	NOL3	CEBPB
40167	NOL3	TBP
40168	NOL3	BCL2
40169	NOL3	CASP8
40170	NOL4	SNAPC5
40171	NOL4	PRMT1
40172	NOL4	MAGEA11
40173	NOL6	HEATR1
40174	NOL6	FBL
40175	NOL6	UTP6
40176	NOL6	DHX37
40177	NOL6	VCL
40178	NOL6	RPS7
40179	NOL6	DDX49
40180	NOL6	TBL3
40181	NOL6	NOC4L
40182	NOL6	IMP4
40183	NOL6	ACTA1
40184	NOL6	IMP3
40185	NOL6	PWP2
40186	NOL8	RRAGA
40187	NOL9	TEX10
40188	NOL9	WDR12
40189	NOL9	PES1
40190	NOL9	LAS1L
40191	NOL9	BOP1
40192	NOLC1	USP4
40193	NOLC1	CEBPB
40194	NOLC1	E2F4
40195	NOLC1	ARRB2
40196	NOLC1	GTF2B
40197	NOLC1	CSNK2A1
40198	NOLC1	ARRB1
40199	NOLC1	YWHAZ
40200	NOLC1	CSNK2B
40201	NOLC1	PRKACA
40202	NOLC1	COIL
40203	NOLC1	MME
40204	NOLC1	YWHAG
40205	NOM1	PNKP
40206	NONO	MYC
40207	NONO	TOP1
40208	NONO	SFPQ
40209	NONO	AR
40210	NONO	GRB2
40211	NONO	PCNA
40212	NONO	ARRB2
40213	NOP10	NHP2
40214	NOP10	DKC1
40215	NOP10	ARRB2
40216	NOP10	GAR1
40217	NOP10	ARRB1
40218	NOP14	HEATR1
40219	NOP14	UTP20
40220	NOP14	MPHOSPH10
40221	NOP14	UTP6
40222	NOP14	RRP36
40223	NOP14	NOC4L
40224	NOP14	PWP2
40225	NOP14	NOL6
40226	NOP14	UTP18
40227	NOP14	NOL11
40228	NOP14	RPS7
40229	NOP14	RPS14
40230	NOP14	FBL
40231	NOP14	KRR1
40232	NOP14	DHX37
40233	NOP14	TBL3
40234	NOP14	DDX49
40235	NOP14	IMP3
40236	NOP14	DDX52
40237	NOP14	WDR75
40238	NOP14	RRP9
40239	NOP14	UTP3
40240	NOP14	NOP58
40241	NOP14	WDR3
40242	NOP14	IMP4
40243	NOP14	UTP15
40244	NOP14	DCAF13
40245	NOP2	MAP3K1
40246	NOP2	MCRS1
40247	NOP2	FBL
40248	NOP2	TOP1
40249	NOP53	PTEN
40250	NOP53	APEX1
40251	NOP53	HAP1
40252	NOP58	RPS6
40253	NOP58	DHX37
40254	NOP58	UTP18
40255	NOP58	RUVBL1
40256	NOP58	IMP3
40257	NOP58	RPS7
40258	NOP58	TBL3
40259	NOP58	UTP3
40260	NOP58	NOL11
40261	NOP58	FBL
40262	NOP58	NOC4L
40263	NOP58	KRR1
40264	NOP58	MED9
40265	NOP58	NOL6
40266	NOP58	MED29
40267	NOP58	DDX49
40268	NOP58	MPHOSPH10
40269	NOP58	HEATR1
40270	NOP58	IMP4
40271	NOP58	RRP36
40272	NOP58	UTP20
40273	NOP58	RRP9
40274	NOP58	UTP6
40275	NOP58	PWP2
40276	NOS1	DLG2
40277	NOS1	CAV3
40278	NOS1	PTPN6
40279	NOS1	ARG1
40280	NOS1	PTPRN
40281	NOS1	LLGL1
40282	NOS1	RASD1
40283	NOS1	BDKRB2
40284	NOS1	CAMK2A
40285	NOS1	CTBP1
40286	NOS1	NOS1AP
40287	NOS1	CAMK1
40288	NOS1	DLG4
40289	NOS1	PUM2
40290	NOS1	HSP90AA1
40291	NOS1	CAMK4
40292	NOS1	DYNLL1
40293	NOS1	HMOX1
40294	NOS1	PFKM
40295	NOS1	PRKACA
40296	NOS1	PRKCA
40297	NOS1	ZDHHC23
40298	NOS1	SNTA1
40299	NOS1	HTR2B
40300	NOS1	ATP2B4
40301	NOS1AP	SYN2
40302	NOS1AP	SYN1
40303	NOS1AP	LRP8
40304	NOS1AP	LRP2
40305	NOS1AP	LRP1
40306	NOS2	CAV1
40307	NOS2	SRC
40308	NOS2	RAC2
40309	NOS2	NOS1
40310	NOS2	SLC9A3R1
40311	NOS2	RAC1
40312	NOS3	BDNF
40313	NOS3	AGTR1
40314	NOS3	EDNRB
40315	NOS3	SP1
40316	NOS3	CAV1
40317	NOS3	BDKRB2
40318	NOS3	AKT1
40319	NOS3	HSP90AA1
40320	NOS3	NMT1
40321	NOS3	GUCY1B1
40322	NOSIP	NOS3
40323	NOSIP	NOS1
40324	NOSTRIN	NOS3
40325	NOTCH1	NFKB1
40326	NOTCH1	XIAP
40327	NOTCH1	RELA
40328	NOTCH1	SMAD3
40329	NOTCH1	PSEN1
40330	NOTCH1	CBL
40331	NOTCH1	RBPJ
40332	NOTCH1	LCK
40333	NOTCH1	GSK3B
40334	NOTCH1	HDAC1
40335	NOTCH1	APBA1
40336	NOTCH1	EP300
40337	NOTCH2	RBPJ
40338	NOTCH2	MYOC
40339	NOTCH2	PSEN2
40340	NOTCH2	JAG2
40341	NOTCH2	DTX1
40342	NOTCH2	ZNF8
40343	NOTCH2	CNTN1
40344	NOTCH2	PSEN1
40345	NOTCH2	JAG1
40346	NOTCH2	LFNG
40347	NOTCH2	SMAD1
40348	NOTCH2	MFNG
40349	NOTCH2	GSK3B
40350	NOTCH2NLA	UBQLN4
40351	NOTCH2NLA	ELANE
40352	NOTCH3	RBPJ
40353	NOTCH3	PSEN1
40354	NOTCH3	JAG1
40355	NOTCH3	NOTCH1
40356	NOTCH3	JAG2
40357	NOTCH3	ABL1
40358	NOTCH3	SNW1
40359	NOTCH3	NCK1
40360	NOTCH3	PSEN2
40361	NOTCH4	RBPJ
40362	NOTCH4	JAG1
40363	NOTCH4	SMAD2
40364	NOTCH4	PSEN2
40365	NOTCH4	JAG2
40366	NOTCH4	PSEN1
40367	NOTCH4	SMAD4
40368	NOTCH4	SMAD3
40369	NOTCH4	FBXW7
40370	NOV	FN1
40371	NOV	IGF1
40372	NOV	NOTCH1
40373	NOV	FBLN1
40374	NOV	ITGAV
40375	NOV	GJA1
40376	NOV	CTGF
40377	NOX1	RAC1
40378	NOX1	CYBA
40379	NOX3	NCF2
40380	NOX3	CYBA
40381	NOX4	TLR4
40382	NOX4	CYBA
40383	NOXA1	PRKCG
40384	NOXA1	RAC2
40385	NOXA1	RAC1
40386	NPAS1	ARNT
40387	NPAS2	RXRA
40388	NPAS2	CSNK1E
40389	NPAS2	EP300
40390	NPAS2	CREBBP
40391	NPAS2	CRY1
40392	NPAS2	NCOA3
40393	NPAS2	AMPH
40394	NPAS2	RARA
40395	NPAS2	CSNK1D
40396	NPAS2	ARNTL
40397	NPAS2	HSP90AA1
40398	NPAS4	ARNTL
40399	NPAS4	ARNT
40400	NPAT	CREBBP
40401	NPAT	STIP1
40402	NPAT	POU2F1
40403	NPB	NPBWR2
40404	NPBWR1	NPW
40405	NPBWR1	NPB
40406	NPBWR1	GNAI1
40407	NPBWR1	GNG3
40408	NPBWR1	GNGT1
40409	NPBWR1	GNAI3
40410	NPBWR1	GNB2
40411	NPBWR1	GNG12
40412	NPBWR1	GNG13
40413	NPBWR1	RPL8
40414	NPBWR1	GNB1
40415	NPBWR1	GNG2
40416	NPBWR1	GNG4
40417	NPBWR1	GNGT2
40418	NPBWR1	GNG11
40419	NPBWR1	GNB3
40420	NPBWR1	GNAI2
40421	NPBWR1	GNG5
40422	NPBWR2	GNAI3
40423	NPBWR2	GNAI2
40424	NPBWR2	GNB2
40425	NPBWR2	GNG13
40426	NPBWR2	GNB3
40427	NPBWR2	GNB1
40428	NPBWR2	GNG5
40429	NPBWR2	GNG4
40430	NPBWR2	GNGT2
40431	NPBWR2	GNG11
40432	NPBWR2	GNG12
40433	NPBWR2	GNG3
40434	NPBWR2	GNG2
40435	NPBWR2	GNGT1
40436	NPBWR2	GNAI1
40437	NPC2	DHDDS
40438	NPEPPS	MCC
40439	NPFF	NPY
40440	NPFFR1	GNGT2
40441	NPFFR1	GNGT1
40442	NPFFR1	GNG11
40443	NPFFR1	GNG13
40444	NPFFR1	GNA15
40445	NPFFR1	GNA14
40446	NPFFR1	GNG2
40447	NPFFR1	GNB2
40448	NPFFR1	GNAQ
40449	NPFFR1	GNA11
40450	NPFFR1	GNG4
40451	NPFFR1	GNG12
40452	NPFFR1	GNG5
40453	NPFFR1	GNB1
40454	NPFFR1	NPFF
40455	NPFFR1	GNG3
40456	NPFFR2	GNB1
40457	NPFFR2	GNG13
40458	NPFFR2	GNA14
40459	NPFFR2	GNAQ
40460	NPFFR2	GNG11
40461	NPFFR2	GNG4
40462	NPFFR2	GNG2
40463	NPFFR2	GNB2
40464	NPFFR2	GNGT2
40465	NPFFR2	GNGT1
40466	NPFFR2	GNB3
40467	NPFFR2	NPY
40468	NPFFR2	GNA15
40469	NPFFR2	GNA11
40470	NPFFR2	GNG12
40471	NPFFR2	GNG5
40472	NPFFR2	GNG3
40473	NPFFR2	NPFF
40474	NPHP1	BCAR1
40475	NPHP1	FLNB
40476	NPHP1	OFD1
40477	NPHP1	UBQLN4
40478	NPHP1	FLNA
40479	NPHP1	PTK2B
40480	NPHP3	NPHP1
40481	NPHP4	B9D1
40482	NPHP4	TCTN3
40483	NPHP4	DCTN2
40484	NPHP4	RPGRIP1
40485	NPHP4	NPHP1
40486	NPHP4	PAFAH1B1
40487	NPHS1	CDH3
40488	NPHS1	CTNND1
40489	NPHS1	SRC
40490	NPHS1	ALB
40491	NPHS1	CDH15
40492	NPHS1	CASK
40493	NPHS1	CD2AP
40494	NPHS1	ARRB2
40495	NPHS1	NCK1
40496	NPHS1	NCK2
40497	NPHS1	LYN
40498	NPHS1	TJP1
40499	NPHS1	IQGAP1
40500	NPHS1	FYN
40501	NPHS2	CD2AP
40502	NPHS2	NPHS1
40503	NPLOC4	VCP
40504	NPLOC4	UBA52
40505	NPLOC4	UBC
40506	NPLOC4	FAF1
40507	NPLOC4	RPS27A
40508	NPM1	ARRB2
40509	NPM1	MED9
40510	NPM1	PRMT2
40511	NPM1	IRS1
40512	NPM1	CDK1
40513	NPM1	BRCA1
40514	NPM1	ARRB1
40515	NPM1	MDM2
40516	NPM1	CDKN2A
40517	NPM1	LYAR
40518	NPM1	NOP2
40519	NPM1	CDK2
40520	NPM1	BARD1
40521	NPM1	PLK1
40522	NPM1	GADD45A
40523	NPM1	PARP1
40524	NPM1	EIF2AK2
40525	NPM1	SHC1
40526	NPM1	GRB2
40527	NPM1	TCERG1
40528	NPM1	NCL
40529	NPM1	MCC
40530	NPM1	TOP1
40531	NPM1	IKBKE
40532	NPM1	RELA
40533	NPM1	NCOA6
40534	NPM1	MAP3K14
40535	NPM1	ARF1
40536	NPM3	CEP126
40537	NPNT	ITGA8
40538	NPPA	UBQLN4
40539	NPPA	MME
40540	NPPA	HNF4A
40541	NPPA	NR5A2
40542	NPPB	EWSR1
40543	NPPC	MME
40544	NPR1	PRKG1
40545	NPR1	NPPA
40546	NPR1	NPPB
40547	NPR1	PRKACA
40548	NPR1	ATF7IP
40549	NPR2	NPPC
40550	NPR2	NPPB
40551	NPR2	NPPA
40552	NPR3	NPPB
40553	NPR3	NPPC
40554	NPR3	NPPA
40555	NPRL2	PRKAR1A
40556	NPRL2	UBE2M
40557	NPRL3	NPRL2
40558	NPRL3	MIOS
40559	NPRL3	SEH1L
40560	NPRL3	DEPDC5
40561	NPSR1	GNAQ
40562	NPSR1	GNB3
40563	NPSR1	GNGT1
40564	NPSR1	GNG8
40565	NPSR1	GNB2
40566	NPSR1	GNG4
40567	NPSR1	GNB4
40568	NPSR1	GNA11
40569	NPSR1	GNG13
40570	NPSR1	GNA14
40571	NPSR1	GNG11
40572	NPSR1	GNB1
40573	NPSR1	GNG2
40574	NPSR1	GNG5
40575	NPSR1	GNG12
40576	NPSR1	GNGT2
40577	NPSR1	GNG3
40578	NPSR1	GNA15
40579	NPTXR	NPTX2
40580	NPTXR	NPTX1
40581	NPVF	ABL1
40582	NPVF	NCK1
40583	NPW	NPBWR2
40584	NPY	MEP1A
40585	NPY	MEP1B
40586	NPY	MC4R
40587	NPY1R	GNGT2
40588	NPY1R	GNAI3
40589	NPY1R	GNG4
40590	NPY1R	GNG5
40591	NPY1R	NPY
40592	NPY1R	PYY
40593	NPY1R	GNG8
40594	NPY1R	GNG3
40595	NPY1R	GNAI2
40596	NPY1R	GNG11
40597	NPY1R	GNAI1
40598	NPY1R	GNGT1
40599	NPY1R	GNB3
40600	NPY1R	LSM7
40601	NPY1R	GNG13
40602	NPY1R	GNB2
40603	NPY1R	GNG2
40604	NPY1R	GNG12
40605	NPY1R	GNB4
40606	NPY1R	GNB1
40607	NPY2R	PYY
40608	NPY2R	GNAI1
40609	NPY2R	GNGT1
40610	NPY2R	NPY
40611	NPY2R	GNG4
40612	NPY2R	RGS12
40613	NPY2R	GNB4
40614	NPY2R	GNGT2
40615	NPY2R	GNG11
40616	NPY2R	GNG12
40617	NPY2R	GNG8
40618	NPY2R	GNB1
40619	NPY2R	GNG3
40620	NPY2R	GNG13
40621	NPY2R	GNG5
40622	NPY2R	GNAI3
40623	NPY2R	GNAI2
40624	NPY2R	GNB2
40625	NPY2R	GNB3
40626	NPY2R	GNG2
40627	NPY4R	NPY
40628	NPY5R	GNAI1
40629	NPY5R	GNB2
40630	NPY5R	GNG13
40631	NPY5R	PYY
40632	NPY5R	GNG5
40633	NPY5R	GNGT1
40634	NPY5R	GNB1
40635	NPY5R	GNG3
40636	NPY5R	GNGT2
40637	NPY5R	GNB3
40638	NPY5R	GNB4
40639	NPY5R	GNAI3
40640	NPY5R	GNG4
40641	NPY5R	GNG8
40642	NPY5R	GNG2
40643	NPY5R	NPY
40644	NPY5R	GNG12
40645	NPY5R	GNAI2
40646	NPY5R	GNG11
40647	NQO1	HSPA4
40648	NQO1	DNAJB1
40649	NQO1	HSPA1A
40650	NR0B1	NR5A1
40651	NR0B1	NRIP1
40652	NR0B1	ESR2
40653	NR0B1	ESRRG
40654	NR0B1	AR
40655	NR0B1	SREBF1
40656	NR0B1	ESR1
40657	NR0B1	SNW1
40658	NR0B1	COPS2
40659	NR0B1	PPARG
40660	NR0B2	HNF4A
40661	NR0B2	SNW1
40662	NR0B2	MED1
40663	NR0B2	RARG
40664	NR0B2	ESRRG
40665	NR0B2	NR1I3
40666	NR0B2	RXRB
40667	NR0B2	NR5A2
40668	NR0B2	PPARG
40669	NR0B2	POLR2A
40670	NR0B2	RXRG
40671	NR0B2	THRA
40672	NR0B2	NR1H3
40673	NR0B2	DDX20
40674	NR0B2	ESR1
40675	NR0B2	RXRA
40676	NR0B2	RARA
40677	NR0B2	PPARD
40678	NR0B2	VDR
40679	NR0B2	NR1H2
40680	NR0B2	AR
40681	NR0B2	ESR2
40682	NR1D1	NCOR1
40683	NR1D1	NR2E3
40684	NR1D1	KIF22
40685	NR1D1	NCOR2
40686	NR1D2	NCOR1
40687	NR1D2	NCOA5
40688	NR1D2	NR1D1
40689	NR1D2	CUL1
40690	NR1D2	UBE2I
40691	NR1H2	UBE2I
40692	NR1H2	FOXO3
40693	NR1H2	RXRA
40694	NR1H2	RXRG
40695	NR1H2	MDFI
40696	NR1H2	MED1
40697	NR1H2	NCOA3
40698	NR1H2	NCOA1
40699	NR1H2	RARA
40700	NR1H3	NCOA3
40701	NR1H3	NCOA1
40702	NR1H3	RXRG
40703	NR1H3	RXRA
40704	NR1H3	FOXO3
40705	NR1H3	RARA
40706	NR1H3	NCOR1
40707	NR1H4	RXRA
40708	NR1H4	NCOA1
40709	NR1H4	SMARCD1
40710	NR1H4	NCOR2
40711	NR1H4	ESR1
40712	NR1H4	MED1
40713	NR1H4	NCOA2
40714	NR1H4	CASP8
40715	NR1H4	RXRG
40716	NR1I2	RXRA
40717	NR1I2	NCOA1
40718	NR1I2	RXRG
40719	NR1I2	NCOA3
40720	NR1I3	RXRA
40721	NR1I3	MED1
40722	NR1I3	NCOA1
40723	NR2C1	HDAC3
40724	NR2C1	HDAC4
40725	NR2C1	ESR1
40726	NR2C1	MED1
40727	NR2C1	AR
40728	NR2C2	HSP90AA1
40729	NR2C2	RXRB
40730	NR2C2	CHUK
40731	NR2C2	TAB2
40732	NR2C2	CDC37
40733	NR2C2	FKBP5
40734	NR2C2	MED1
40735	NR2C2	AR
40736	NR2C2	IKBKB
40737	NR2C2	HNF4A
40738	NR2C2	HDAC3
40739	NR2C2	PEBP1
40740	NR2C2	HDAC4
40741	NR2C2	TAB1
40742	NR2C2	TRAF2
40743	NR2C2	NR2C1
40744	NR2C2	ESR1
40745	NR2C2AP	NR2C2
40746	NR2E1	MED1
40747	NR2E3	RARA
40748	NR2E3	CRX
40749	NR2E3	RXRB
40750	NR2F1	RXRA
40751	NR2F1	MYOD1
40752	NR2F1	LCK
40753	NR2F1	COPS2
40754	NR2F1	NR2F6
40755	NR2F1	ISL1
40756	NR2F1	AHR
40757	NR2F1	THRA
40758	NR2F1	EEF1D
40759	NR2F1	HDAC1
40760	NR2F1	MED1
40761	NR2F1	HNF4A
40762	NR2F1	NCOA1
40763	NR2F1	NCOR2
40764	NR2F1	SP1
40765	NR2F1	GTF2B
40766	NR2F1	NCOA3
40767	NR2F1	NCOA2
40768	NR2F1	ESR1
40769	NR2F2	PIAS1
40770	NR2F2	MYOD1
40771	NR2F2	NR2F6
40772	NR2F2	SQSTM1
40773	NR2F2	LCK
40774	NR2F2	TENT5A
40775	NR2F2	NCOR2
40776	NR2F2	NR3C1
40777	NR2F2	HDAC1
40778	NR2F2	EP300
40779	NR2F6	MED1
40780	NR2F6	NCOA1
40781	NR3C1	STAT3
40782	NR3C1	TBP
40783	NR3C1	ATF2
40784	NR3C1	RAN
40785	NR3C1	NR2F6
40786	NR3C1	AR
40787	NR3C1	UBE2I
40788	NR3C1	MED1
40789	NR3C1	RELA
40790	NR3C1	MDM2
40791	NR3C1	PBX1
40792	NR3C1	NCOA3
40793	NR3C1	ADA
40794	NR3C1	CREB1
40795	NR3C1	MAPK8
40796	NR3C1	CEBPB
40797	NR3C1	NCOA1
40798	NR3C1	SMAD3
40799	NR3C1	DAXX
40800	NR3C1	RAF1
40801	NR3C1	BAG1
40802	NR3C1	CREBBP
40803	NR3C1	CALR
40804	NR3C1	STAT5B
40805	NR3C1	CEBPA
40806	NR3C1	NCOA2
40807	NR3C1	NFKB1
40808	NR3C1	STAT5A
40809	NR3C1	SUMO1
40810	NR3C2	HSPA4
40811	NR3C2	NKX2-1
40812	NR3C2	NCOA2
40813	NR3C2	FKBP4
40814	NR3C2	ACTA1
40815	NR3C2	NR3C1
40816	NR3C2	HSP90AA1
40817	NR3C2	NCOA1
40818	NR3C2	PIAS1
40819	NR4A1	RXRA
40820	NR4A1	NCOR2
40821	NR4A1	RXRG
40822	NR4A1	NCOA1
40823	NR4A1	EP300
40824	NR4A1	AKT1
40825	NR4A1	PML
